단어,품사
지우다05,동
지워지다,동
지원02,명
지원하다01,동
지위04,명
지저분하다,형
지적01,명
지적05,명
지적되다,동
지적하다,동
지점01,명
지점03,명
지지06,명
지진02,명
지출01,명
지치다01,동
지켜보다,동
지키다01,동
지폐,명
지하,명
지하도,명
지하철,명
지혜02,명
직선01,명
직업,명
직원03,명
직장05,명
직장인,명
직전02,명
직접,부
직접,명
직접적,명
직후,명
진급,명
진단02,명
진단하다,동
진달래,명
진동03,명
진로02,명
진료,명
진리,명
진실02,명
진실로,부
진실하다,형
진심01,명
진지하다,형
진짜,명
진짜,부
진찰02,명
진출02,명
진출하다02,동
진통01,명
진하다01,형
진행02,명
진행되다,동
진행자,명
진행하다,동
질08,명
질문,명
질문하다,동
질병02,명
질서03,명
질적,명
짐01,명
짐작,명
짐작하다,동
집01,명
집다01,동
집단,명
집단적,명
집안01,명
집안일,명
집어넣다,동
집중02,명
집중되다,동
집중적,명
집중하다02,동
짓01,명
짓다01,동
짙다02,형
짚다01,동
짜다01,동
짜다02,동
짜다03,형
짜증,명
짜증스럽다,형
짝01,명
짧다,형
짧아지다,동
쩔쩔매다,동
쪽02,명
쪽03,의
쪽05,의
쫓겨나다,동
쫓기다,동
쫓다,동
쭉,부
찌개01,명
찌꺼기,명
찌다01,동
찌다05,동
찌르다,동
찍다02,동
찍히다02,동
찢다,동
찢어지다,동
차03,의
차06,명
차08,명
차09,명
차갑다,형
차남02,명
차다01,동
차다02,동
차다03,동
차다04,형
차라리,부
차량01,명
차례01,명
차리다,동
차림,명
차마,부
차별,명
차선03,명
차이,명
차이점,명
차차01,부
차창,명
차츰,부
착각03,명
착각하다,동
착하다,형
찬물01,명
찬성01,명
찬성하다,동
참01,부
참01,감
참03,의
참가01,명
참가하다01,동
참고하다,동
참기름,명
참다,동
참되다,형
참새01,명
참석,명
참석자,명
참석하다,동
참여,명
참여하다,동
참외01,명
참으로,부
참조02,명
찻잔,명
창09,명
창가01,명
창고01,명
창구01,명
창문,명
창밖,명
창작,명
창조03,명
창조적,명
창조하다,동
창피하다,형
찾다,동
찾아가다,동
찾아내다,동
찾아다니다,동
찾아보다,동
찾아오다,동
채08,의
채09,의
채10,부
채널,명
채소,명
채우다03,동
채점,명
책01,명
책가방,명
책방01,명
책상01,명
책임,명
책임감,명
책임자,명
책임지다,동
챔피언,명
챙기다,동
처녀,명
처리02,명
처벌,명
처음,명
처지,명
척01,의
척08,의
척하다01,보
천01,명
천03,수
천03,관
천국01,명
천둥,명
천장02,명
천재03,명
천천히,부
철01,명
철02,명
철06,명
철도,명
철저하다,형
철저히,부
철학,명
철학자,명
철학적,명
첫,관
첫날,명
첫째,관
첫째,수
청년,명
청바지,명
청소06,명
청소기80,명
청소년,명
청소하다03,동
청춘01,명
청하다,동
체계적,명
체력,명
체온,명
체육,명
체육관,명
체조02,명
체중01,명
체하다01,보
체험,명
체험하다,동
쳐다보다,동
초03,의
초07,의
초기04,명
초대04,명
초대06,명
초대하다02,동
초등학교,명
초등학생,명
초록색,명
초반01,명
초밥,명
초보01,명
초보자,명
초상화,명
초순01,명
초여름,명
초원04,명
초저녁,명
초점03,명
초조하다,형
초청01,명
초청장,명
초청하다,동
초콜릿,명
촌스럽다,형
촛불,명
총03,명
총06,관
총각01,명
총리01,명
총장01,명
촬영,명
최고02,명
최고급,명
최근,명
최대,명
최대한,명
최상02,명
최선02,명
최소01,명
최소한,명
최신,명
최악,명
최저01,명
최종,명
최초,명
최후,명
추가02,명
추가되다,동
추가하다,동
추다02,동
추석01,명
추억,명
추위01,명
추진02,명
추진하다02,동
추천03,명
추천하다02,동
추측,명
축구04,명
축구공,명
축구장,명
축소02,명
축제01,명
축하,명
축하하다,동
출구01,명
출국,명
출근,명
출근하다,동
출발,명
출발점,명
출발하다,동
출산02,명
출석하다,동
출신,명
출연02,명
출연하다02,동
출입,명
출입국,명
출입문,명
출장01,명
출퇴근,명
출판02,명
출판사,명
출현하다,동
춤01,명
춤추다,동
춥다,형
충격02,명
충격적,명
충고,명
충돌,명
충돌하다,동
충분하다01,형
충분히,부
충청도,고
취미04,명
취소01,명
취소하다01,동
취업,명
취재02,명
취직,명
취하다01,동
취하다03,동
취향01,명
층02,명
치과,명
치다01,동
치다02,동
치다05,동
치다10,동
치료,명
치료법,명
치료하다,동
치르다,동
치마01,명
치아02,명
치약,명
치우다01,동
치우다01,보
치즈,명
친구02,명
친절,명
친절하다,형
친정04,명
친척,명
친하다,형
친해지다,동
칠01,수
칠십,수
칠월,명
칠판,명
칠하다,동
침01,명
침대02,명
침묵,명
침실,명
침착하다02,형
칫솔,명
칭찬,명
칭찬하다,동
카드,명
카레,명
카메라,명
카운터01,명
카페,명
칸01,명
칼01,명
칼국수,명
캄캄하다,형
캐나다,고
캐릭터,명
캠퍼스,명
캠페인,명
커다랗다,형
커지다,동
커튼,명
커피,명
컨디션,명
컬러01,명
컴퓨터,명
컵,명
케첩,명
켜다01,동
켜지다,동
코01,명
코끝,명
코끼리,명
코너,명
코드02,명
코미디,명
코스,명
코스모스01,명
코치,명
코트03,명
코피01,명
콘서트,명
콜라,명
콤플렉스,명
콩01,명
콩나물,명
쾌감,명
쿠데타,명
크기,명
크다01,형
크다01,동
크리스마스,명
크림,명
큰길,명
큰딸,명
큰소리01,명
큰아들,명
큰아버지,명
큰어머니,명
큰일01,명
큰절01,명
클래식,명
클럽,명
키01,명
키스,명
키우다,동
킬로,의
킬로그램,의
킬로미터,의
타고나다,동
타다01,동
타다02,동
타다03,동
타다04,동
타락02,명
타오르다,동
타입02,명
타자기,명
탁01,부
탁구,명
탁월하다,형
탁자01,명
탄생,명
탄생하다,동
탈출하다02,동
탑02,명
탓,명
태권도,명
태도03,명
태아02,명
태양02,명
태어나다,동
태우다01,동
태우다02,동
태풍,명
택시,명
택하다,동
탤런트,명
터01,명
터02,의
터널,명
터뜨리다,동
터미널,명
터지다,동
턱01,명
턱04,의
털,명
털다,동
텅01,부
테니스,명
테러,명
테스트,명
테이블,명
테이프,명
텍스트,명
텔레비전,명
토끼,명
토대,명
토론01,명
토론자,명
토론하다,동
토론회,명
토마토,명
토요일,명
토하다,동
톤01,의
통10,명
통12,의
통계04,명
통과,명
통과하다,동
통로,명
통신01,명
통역,명
통일02,명
통일하다,동
통장02,명
통제02,명
통증,명
통하다,동
통합,명
통화03,명
통화04,명
퇴근,명
퇴근하다,동
퇴원01,명
퇴원하다,동
퇴직금,명
투명하다02,형
투자02,명
투표01,명
튀기다01,동
튀김01,명
튀다,동
튀어나오다,동
트럭,명
트이다,동
특급02,명
특별,명
특별하다,형
특별히,부
특성01,명
특수02,명
특수성,명
특이하다,형
특정하다,형
특징,명
특히,부
튼튼하다,형
튼튼히,부
틀01,명
틀다,동
틀리다01,동
틀림없다,형
틀림없이,부
틈01,명
티브이,명
티셔츠,명
팀01,명
파01,명
파괴하다,동
파다01,동
파도,명
파란색,명
파랗다,형
파리,고
파리01,명
파악하다,동
파일03,명
파출소,명
파티,명
판01,명
판01,의
판08,명
판10,명
판결,명
판단,명
판단하다,동
판매,명
판매되다,동
판매하다,동
판사01,명
팔01,명
팔03,수
팔다,동
팔리다,동
팔십,수
팔월,명
팝송,명
패션01,명
팩03,명
팩스,명
팩시밀리,명
팬01,명
팬03,명
팬티,명
퍼센트,의
퍼지다,동
퍽02,부
페인트02,명
펴내다,동
펴다,동
편04,의
편05,의
편09,의
편견,명
편리하다,형
편안하다01,형
편의02,명
편의점,명
편지02,명
편하다,형
편히,부
펼쳐지다,동
평02,의
평03,명
평가03,명
평가되다,동
평가하다,동
평균,명
평범하다,형
평상시,명
평생,명
평소,명
평양,고
평일,명
평화02,명
평화롭다,형
폐지02,명
포근하다,형
포기하다01,동
포도06,명
포도주,명
포스터01,명
포인트,명
포장01,명
포장마차,명
포크01,명
포함02,명
포함되다01,동
포함하다02,동
폭06,명
폭넓다,형
폭력,명
표02,명
표04,명
표면,명
표시01,명
표시02,명
표시하다01,동
표시하다02,동
표정03,명
표준01,명
표현,명
표현되다,동
표현하다,동
푸다01,동
푸르다,형
푹01,부
풀01,명
풀02,명
풀다,동
풀리다,동
풀어지다,동
품01,명
품다01,동
품목01,명
품질03,명
풍경01,명
풍부하다,형
풍속01,명
풍습01,명
프랑스,고
프로03,명
프로04,명
프로그램,명
프린터,명
플라스틱,명
피02,명
피곤,명
피곤하다,형
피다01,동
피디,명
피로02,명
피로하다02,형
피망,명
피부02,명
피시03,명
피아노01,명
피우다01,동
피자,명
피하다,동
피해01,명
피해자,명
필름,명
필수02,명
필수적,명
필연적,명
필요,명
필요성,명
필요하다,형
필자02,명
필통,명
핑계,명
하04,명
하긴,부
하나,수
하나,명
하나님,명
하나하나,명
하나하나,부
하느님,명
하늘01,명
하다01,보
하다01,동
하도01,부
하드웨어,명
하루01,명
하룻밤,명
하반기,명
하숙집,명
하순01,명
하얀색,명
하얗다,형
하여튼,부
하지만,부
하천02,명
하품01,명
하필02,부
하하01,부
학과01,명
학교,명
학교생활,명
학급,명
학기02,명
학년,명
학력02,명
학번,명
학부모,명
학비,명
학생,명
학생증,명
학술,명
학습,명
학용품,명
학원02,명
학위,명
학자01,명
학점,명
한01,관
한05,명
한06,명
한가운데,명
한가하다02,형
한강,고
한겨울,명
한결,부
한계,명
한구석,명
한국,고
한국말,명
한국어,명
한국적,명
한글01,명
한글날,명
한꺼번에,부
한낮,명
한눈01,명
한데03,부
한동안,명
한두,관
한둘,수
한때,명
한라산,고
한마디,명
한문03,명
한반도,고
한밤중,명
한번,명
한복,명
한순간,명
한숨02,명
한식04,명
한여름,명
한자02,명
한잔,명
한잔하다,동
한정되다,동
한정하다01,동
한쪽,명
한참,명
한창01,부
한층,부
한편,부
한편,명
한평생01,명
한하다02,동
할머니,명
할아버지,명
할인01,명
함께,부
함께하다,동
함부로,부
합격,명
합격하다,동
합리적,명
합치다,동
합하다,동
항공,명
항공기,명
항구03,명
항상,부
항의01,명
해01,의
해01,명
해11,명
해결02,명
해결되다,동
해결하다,동
해군01,명
해내다,동
해답,명
해당05,명
해당되다,동
해당하다04,동
해롭다,형
해마다,부
해물,명
해석03,명
해석04,명
해석하다02,동
해설03,명
해소03,명
해소하다01,동
해수욕장,명
해안02,명
해외,명
해외여행,명
핵,명
핵심,명
핸드백,명
핸드폰,명
햄04,명
햄버거,명
햇볕,명
햇빛,명
햇살,명
행동,명
행동하다,동
행복02,명
행복하다,형
행사01,명
행사02,명
행운02,명
행위,명
행하다,동
행해지다,동
향03,명
향기01,명
향상01,명
향상되다,동
향수04,명
향하다,동
허가01,명
허락,명
허락하다,동
허리01,명
허용,명
허용되다,동
허용하다,동
허허01,부
헌,관
헤매다,동
헤아리다,동
헤어지다,동
헬기,명
혀01,명
현04,관
현관01,명
현관문,명
현금04,명
현대01,명
현대인,명
현대적,명
현상04,명
현실02,명
현실적,명
현장03,명
현재02,부
현재02,명
현지03,명
혈액,명
협력,명
형01,명
형05,명
형님,명
형부01,명
형사02,명
형성01,명
형성되다,동
형성하다,동
형수01,명
형식01,명
형식적,명
형제01,명
형태,명
형편01,명
혜택,명
호14,의
호기심,명
호남02,명
호랑이,명
호박01,명
호선80,의
호수07,명
호실01,명
호주,고
호주머니,명
호텔,명
호흡,명
혹시01,부
혹은,부
혼나다,동
혼자01,명
혼잣말,명
홀로,부
홈페이지,명
홍보01,명
홍수02,명
홍차,명
화06,명
화가03,명
화나다,동
화려하다,형
화면05,명
화분01,명
화살01,명
화요일,명
화장02,명
화장실,명
화장지01,명
화장품,명
화재01,명
화제07,명
화학01,명
확02,부
확대되다02,동
확대하다02,동
확립하다,동
확보01,명
확산되다,동
확신01,명
확신하다,동
확실하다,형
확실히,부
확인02,명
확인되다,동
확인하다,동
확장,명
확정02,명
환갑02,명
환경02,명
환경오염,명
환영02,명
환영하다,동
환율,명
환자03,명
환하다01,형
활기02,명
활동02,명
활동하다01,동
활발하다,형
활발해지다,동
활발히,부
활용,명
활용하다,동
활짝,부
회08,의
회견,명
회관,명
회복,명
회복되다,동
회복하다,동
회사04,명
회색01,명
회원,명
회의04,명
회의05,명
회장07,명
회전04,명
회화05,명
횟수,명
횡단보도,명
효과01,명
효과적,명
효도01,명
효도하다,동
효율적,명
효자01,명
후08,명
후기03,명
후반01,명
후배06,명
후보04,명
후춧가루,명
후회01,명
후회하다,동
훈련,명
훌륭하다,형
훔치다02,동
훨씬,부
휴가01,명
휴식02,명
휴일,명
휴지02,명
휴지통,명
흉내,명
흐려지다,동
흐르다01,동
흐름,명
흐리다01,동
흐리다02,형
흑백,명
흑인,명
흔들다,동
흔들리다,동
흔적,명
흔하다,형
흔히,부
흘러가다,동
흘러나오다,동
흘러내리다,동
흘리다,동
흙01,명
흥미,명
흥미롭다,형
흥분,명
흥분하다,동
흩어지다,동
희곡,명
희다,형
희망,명
희망하다,동
희생,명
희생하다,동
흰색,명
힘01,명
힘겹다,형
힘껏,부
힘들다,형
힘들어하다,동
힘쓰다,동
힘없이,부
힘차다,형
